ArrivalRegion	SourceRegion	NISDens	TotDens	PropNIS	CPNIS	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous
4	6	842.1052632	10442.10526	0.080645161	3	0	0	0	0	0	0	0	0	0	0	0	1.754385965	0	0	0	0	7.01754386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	833.3333333	0
4	7	226.4957265	18690.59829	0.012118164	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.51282051	0	0	0	0	0	205.982906	0	0
4	6	872.3076923	10231.53846	0.085256748	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.07692308	0	0	0	0	0	0	0	0	0	859.2307692	0
4	7	10.9375	3670.3125	0.002979991	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78125	0	0	0	0	0	0	1.5625	0	0	0	0	0	0	0	0	0.78125	7.8125	0
4	7	8.461538462	88.46153846	0.095652174	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.076923077	0	0.769230769	3.846153846	0	0	0	0	0	0.769230769	0
4	7	32.43243243	5437.837838	0.005964215	8	0.675675676	0	0	0.675675676	0.675675676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.432432432	0	12.83783784	0	0	1.351351351	0	0	0	0	2.702702703	6.081081081	0	0	0	0	0
4	6	3781.512605	16588.23529	0.227963526	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3781.512605
4	7	0	80.48780488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	6	964.2276423	22834.95935	0.042225941	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.43902439	0	0	0	0	0	0	0	0	0	0	961.7886179	0
4	7	18.26086957	1380	0.013232514	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.26086957	0	0
4	7	0	7.96460177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	7	69.6	150.4	0.462765957	9	0	0.8	0	0	0	0	0	0	0	2.4	2.4	0	0	0	0	5.6	0	0	0	0	0	0	15.2	0	0	0	0	0	0	0.8	21.6	0	0	4	16.8	0
4	7	0.787401575	4.724409449	0.166666667	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.787401575	0	0	0	0	0	0	0	0	0	0	0	0	0
4	7	0	3.361344538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	7	355.4744526	2372.262774	0.149846154	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135.7664234	219.7080292	0	0
4	7	13.26963907	8591.648974	0.001544481	2	0	0	0	0	0	0	8.846426044	0	0	0	0	0	0	0	0	4.423213022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	7	830.9087573	8552.855757	0.097149862	6	0	0	0	0	0	0	0	0	0	258.4466986	0	0	0	0	0	0	1.572697963	0	0	478.6244135	79.15913082	0	0	0	0	0	0	0	0	7.339257162	0	0	0	0	4.71809389	0
4	7	12.22415235	359.0040533	0.034050179	1	0	0	0	0	0	0	12.22415235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	7	0	108.7048832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	6	0	39751.12055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	7	409.5305497	16416.45042	0.024946352	2	0	0	0	0	0	0	408.9014705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.629079185
4	7	182.4329637	1802.311866	0.10122164	2	0	0	0	0	0	0	181.8038846	0	0	0	0	0	0	0	0.629079185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	7	14.15428167	30953.99858	0.000457268	3	0	0	0	0	0	0	2.830856334	0	0	8.492569002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.830856334
4	6	274.9974724	5208.775655	0.052795031	3	0	0	0	0	0	0	212.7186331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.66120716	0	0	0	0	0	0	0	0	0	0	0	1.617632191
4	7	3627.742392	60651.09696	0.059813302	3	0	0	0	0	0	0	707.7140835	0	0	0	0	0	0	0	0	0	0	0	0	2512.384996	406.935598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	7	4.953998585	571.1252654	0.008674102	3	0	0	0	0	0	0	0	0	0	0	0	0	1.415428167	0	0	0	0	0	0	2.830856334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.707714084
4	7	37.07073771	121.9964277	0.303867403	4	0	0	0	0	0	0	8.088160954	0	0	9.43618778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.87237556	0	0	0	0	0	0	0.674013413	0	0	0	0
4	7	492.7786952	27899.66187	0.017662533	6	0	0	0	0	0	0	120.5735105	0	6.290791853	0	0	0	0	0	0	0	0	0	0	349.1389479	0	0	0	0	0	0	0	7.339257162	0	0	0	1.048465309	8.387722471	0	0	0
4	4	107.8421461	4784.147205	0.022541561	1	0	0	0	0	0	0	107.8421461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	7	5.661712668	8472.753008	0.000668226	1	0	0	0	0	0	0	0	0	0	5.661712668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	6	3.145395927	4379.963828	0.000718133	3	0	0	0	0	0	0	0	0.524232654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.524232654	0	0	0	0	2.096930618	0	0	0	0	0	0	0
4	7	0.884642604	8.846426044	0.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.884642604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	4	249.1153574	2013.446568	0.123725835	2	0	0	0	0	0	0	248.4076433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.707714084	0	0	0	0	0	0	0
4	6	557.9146025	13311.51215	0.041912188	2	0	0	0	0	0	0	0	0	0	0	0	127.388535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430.5260675	0	0	0	0	0	0	0	0
4	7	263.6234961	3700.017693	0.071249253	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260.0849257	1.769285209	0	0	0	0	0	0	0	0	0	1.769285209	0	0	0	0	0
4	6	289.1517541	7616.520069	0.037963762	5	0	0	0	0	0	0	64.19977758	15.16530179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202.2040239	0	0	0	0	1.516530179	0	0	0	0	6.066120716	0	0
4	6	36041.51923	37406.62106	0.963506412	2	0	0	0	0	0	0	0	0	0	0	0	26.73586538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36014.78336	0	0	0	0	0	0	0	0
4	7	4.503635077	18820.04761	0.0002393	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.503635077	0	0	0	0	0	0	0	0
4	7	1489.377067	6636.913789	0.224408078	7	0	0	0	0	0	0	0	0	0	0	31.77491804	0	0	9.821338302	0	0	0	0	0	418.8511923	303.3060358	0	0	0	0	0	722.1572281	0	0	1.733177347	0	0	0	0.577725782	0	0
4	7	0	0.943618778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	6	3722.576079	6083.308058	0.611932857	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3722.576079	0	0	0	0	0	0	0	0
4	7	11588.81812	51902.33546	0.223281246	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4.953998585	0	0	0	0.707714084	0.707714084	11553.43241	0	0	0	0	0	0	0	0	0	29.01627742	0	0	0	0	0	0
4	7	51.11268381	164.3469372	0.311004785	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.51332862	16.51332862	0	0	14.94063065	3.145395927	0	0	0	0	0	0	0	0	0
4	6	4836.046237	6340.331839	0.762743396	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4836.046237	0	0	0	0	0	0	0	0
